dataset,group_name,age_group,year,metric,value,source_file
marriages_by_age_sex,Враца,20 - 24,2016,male,52.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2016,female,110.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2017,male,39.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2017,female,89.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2018,male,40.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2018,female,86.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2019,male,46.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2019,female,95.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2020,male,35.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2020,female,60.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2021,male,41.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2021,female,81.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2022,male,30.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2022,female,70.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2023,male,38.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2023,female,63.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2024,male,30.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2024,female,64.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2025,male,36.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,20 - 24,2025,female,68.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2010,male,120.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2010,female,119.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2011,male,126.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2011,female,97.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2012,male,108.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2012,female,91.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2013,male,115.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2013,female,87.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2014,male,118.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2014,female,95.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2015,male,110.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2015,female,114.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2016,male,113.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2016,female,104.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2017,male,123.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2017,female,124.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2018,male,142.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2018,female,147.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2019,male,115.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2019,female,108.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2020,male,66.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2020,female,89.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2021,male,99.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2021,female,99.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2022,male,81.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2022,female,89.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2023,male,63.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2023,female,81.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2024,male,63.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2024,female,77.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2025,male,71.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,25 - 29,2025,female,85.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2010,male,99.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2010,female,61.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2011,male,67.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2011,female,37.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2012,male,75.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2012,female,34.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2013,male,56.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2013,female,34.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2014,male,67.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2014,female,43.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2015,male,76.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2015,female,39.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2016,male,76.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2016,female,50.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2017,male,83.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2017,female,55.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2018,male,101.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2018,female,69.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2019,male,98.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2019,female,87.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2020,male,61.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2020,female,41.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2021,male,111.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2021,female,100.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2022,male,87.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2022,female,68.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2023,male,78.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2023,female,64.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2024,male,75.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2024,female,51.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2025,male,79.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,30 - 34,2025,female,57.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2010,male,48.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2010,female,30.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2011,male,34.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2011,female,27.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2012,male,37.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2012,female,30.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2013,male,33.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2013,female,21.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2014,male,30.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2014,female,27.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2015,male,45.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2015,female,23.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2016,male,43.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2016,female,34.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2017,male,43.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2017,female,43.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2018,male,46.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2018,female,46.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2019,male,62.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2019,female,49.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2020,male,57.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2020,female,49.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2021,male,69.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2021,female,54.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2022,male,45.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2022,female,40.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2023,male,59.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2023,female,39.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2024,male,57.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2024,female,37.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2025,male,52.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,35 - 39,2025,female,43.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2010,male,35.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2010,female,31.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2011,male,33.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2011,female,20.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2012,male,37.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2012,female,26.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2013,male,34.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2013,female,19.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2014,male,47.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2014,female,35.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2015,male,40.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2015,female,38.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2016,male,45.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2016,female,36.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2017,male,69.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2017,female,48.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2018,male,65.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2018,female,54.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2019,male,78.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2019,female,53.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2020,male,60.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2020,female,50.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2021,male,66.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2021,female,60.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2022,male,78.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2022,female,73.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2023,male,62.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2023,female,62.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2024,male,55.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2024,female,59.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2025,male,62.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,40 - 49,2025,female,50.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2010,male,24.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2010,female,13.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2011,male,12.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2011,female,9.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2012,male,12.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2012,female,10.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2013,male,8.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2013,female,8.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2014,male,12.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2014,female,17.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2015,male,20.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2015,female,15.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2016,male,20.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2016,female,14.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2017,male,23.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2017,female,10.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2018,male,36.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2018,female,17.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2019,male,27.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2019,female,24.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2020,male,35.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2020,female,22.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2021,male,38.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2021,female,27.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2022,male,45.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2022,female,26.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2023,male,40.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2023,female,26.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2024,male,45.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2024,female,40.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2025,male,43.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,50 - 59,2025,female,37.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2010,male,17.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2010,female,10.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2011,male,13.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2011,female,6.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2012,male,11.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2012,female,5.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2013,male,12.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2013,female,6.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2014,male,25.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2014,female,12.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2015,male,22.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2015,female,11.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2016,male,15.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2016,female,5.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2017,male,15.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2017,female,11.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2018,male,16.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2018,female,11.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2019,male,20.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2019,female,12.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2020,male,9.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2020,female,5.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2021,male,18.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2021,female,6.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2022,male,20.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2022,female,11.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2023,male,32.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2023,female,23.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2024,male,22.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2024,female,9.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2025,male,25.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Враца,60 +,2025,female,17.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2010,male,,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2010,female,4.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2012,male,,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2012,female,3.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2013,male,,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2013,female,3.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2014,male,,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2014,female,1.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2015,male,2.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2015,female,3.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2016,male,,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2016,female,4.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2017,male,,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2017,female,5.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2018,male,,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2018,female,1.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2019,male,,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2019,female,6.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2021,male,1.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2021,female,4.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2022,male,,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2022,female,3.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2023,male,,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,Под 18,2023,female,2.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2010,male,4.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2010,female,12.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2011,male,3.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2011,female,10.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2012,male,1.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2012,female,9.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2013,male,4.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2013,female,7.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2014,male,1.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2014,female,12.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2015,male,,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2015,female,10.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2016,male,1.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2016,female,8.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2017,male,,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2017,female,15.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2018,male,1.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2018,female,13.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2019,male,3.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2019,female,11.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2020,male,1.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2020,female,11.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2021,male,2.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2021,female,21.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2022,male,5.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2022,female,19.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2023,male,2.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2023,female,11.0,Pop_4.1.5._Marriages_DR.xlsx
marriages_by_age_sex,Габрово,18 - 19,2024,male,3.0,Pop_4.1.5._Marriages_DR.xlsx
